,sub_id,age,condition,1.11Hz,1.67Hz,3.3Hz
34,me2_311_11m,7mo,duple,1.4078940909034997e-25,2.379993093456534e-25,2.869051817423805e-25
35,me2_124_11m,7mo,duple,3.561575066009201e-26,1.226442292597517e-25,2.9413562691813055e-25
36,me2_314_11m,7mo,duple,7.899125645572157e-26,3.667898413861113e-26,2.877618346190362e-26
37,me2_303_11m,7mo,duple,7.61376281564904e-26,2.498239445450614e-25,4.254138027861781e-25
38,me2_102_11m,7mo,duple,9.89665663125189e-26,2.295056606932871e-25,3.709787915111966e-25
39,me2_309_11m,7mo,duple,1.1370231127991583e-25,1.979360431759842e-25,4.193504224082319e-25
40,me2_313_11m,7mo,duple,1.047978658932666e-25,1.312841897494596e-25,1.119498323566499e-25
41,me2_108_11m,7mo,duple,2.267750354994872e-25,1.7512890704175022e-25,3.463588363779402e-25
42,me2_324_11m,7mo,duple,9.764667884351758e-26,1.8787821517514174e-25,1.1672634133379566e-25
43,me2_307_11m,7mo,duple,9.590646623569153e-26,6.948152566988039e-26,1.8791573977163338e-25
44,me2_319_11m,7mo,duple,1.7136900329437288e-25,1.3770337917023094e-25,6.252458819141645e-25
45,me2_326_11m,7mo,duple,1.9593660378682974e-25,7.884877788300692e-26,4.707948066852104e-26
46,me2_312_11m,7mo,duple,1.6844677816556676e-25,1.7232738359930277e-25,3.01931104070736e-25
47,me2_305_11m,7mo,duple,1.2460963831827057e-25,3.17261637681269e-25,7.294988099916848e-25
48,me2_110_11m,7mo,duple,5.819922609871666e-26,8.666729563175395e-26,4.160567947189994e-25
49,me2_321_11m,7mo,duple,9.361390691974138e-26,8.166392032908983e-26,3.8902699557058083e-25
50,me2_308_11m,7mo,duple,3.864299167381366e-26,5.26519565181759e-26,2.721492041128565e-25
51,me2_310_11m,7mo,duple,1.5605853758246138e-25,1.3348148895409313e-25,4.065324208974628e-25
52,br_03,7mo,triple,1.0937180656305418e-25,3.543852379230056e-26,2.4322978365666874e-26
53,br_05,7mo,triple,1.5236318517693325e-25,5.620481738188975e-26,1.981270284684338e-25
54,br_09,7mo,triple,1.294200000172855e-25,3.754464594644769e-26,1.100944266566708e-25
55,br_17,7mo,triple,8.595969821366408e-26,4.056466089763986e-26,6.504609815975405e-26
56,br_13,7mo,triple,9.169774118503332e-26,5.467999072079927e-26,1.4101731294402884e-25
57,br_16,7mo,triple,1.317403986234605e-25,2.857696996559226e-26,1.4146297239117938e-25
58,br_12,7mo,triple,3.318938662619156e-25,7.042694416819141e-26,2.186480378145124e-25
59,br_10,7mo,triple,1.6133025996157976e-25,2.878680335554292e-26,2.1858046337024535e-25
60,br_07,7mo,triple,1.8788040470854525e-25,4.5039024961095694e-26,1.8665178309084009e-25
61,br_01,7mo,triple,6.842961251373511e-26,2.5709467854490206e-26,3.0061670425646084e-25
62,br_06,7mo,triple,9.882159726658066e-26,2.487849337624806e-26,1.8994492521812116e-25
63,br_08,7mo,triple,2.518184022550714e-25,2.41228897426137e-26,8.808065977282629e-26
64,br_04,7mo,triple,2.5237498255167973e-25,6.205811855816609e-26,2.596672269652412e-25
65,br_14,7mo,triple,1.4179746504336024e-25,4.0548965355669984e-26,1.7660170364415888e-25
66,br_02,7mo,triple,1.5279919803373935e-25,8.289150721636581e-26,1.1355278075056241e-25
67,me2_119_7m,7mo,triple,1.9705821818399028e-25,7.99034024105845e-26,2.0011844514332102e-25
68,me2_220_7m,7mo,triple,2.2727558033380556e-25,5.489319259768561e-26,8.690476684151476e-26
69,me2_203_7m,7mo,triple,2.713415649286195e-25,5.601016190604265e-26,2.23714235288362e-25
70,me2_207_7m,7mo,triple,7.515996620295506e-26,5.110420135949292e-26,3.3059875780548743e-25
71,me2_205_7m,7mo,triple,7.886795778259559e-26,3.8923771346538387e-26,2.3230036104561705e-26
72,me2_215_7m,7mo,triple,2.9962286388148614e-25,7.581575249871797e-26,1.8519746446059796e-25
73,me2_217_7m,7mo,triple,8.935245902003802e-26,3.918092518553675e-26,6.767975253988261e-25
